20240901	18:25:32	26c368c0-b039-499d-8f78-9528301d2c6c	/	GET
20240901	18:25:32	de0b1fa9-1841-4394-a1a5-47ab2d9cc653	/css/style.css	GET
20240901	18:25:32	7161cb93-c6eb-4511-b3f4-9bc3ce249236	/favicon.ico	GET
20240902	13:30:56	9068e070-8e2d-4db9-9cee-f9ac3c412a74	GET	undefined	/new-page.html
20240902	13:30:56	e5d42742-3466-4331-93f3-d4beffebfeb5	GET	undefined	/css/style.css
20240902	13:30:56	04f5d851-cbbf-4518-85fa-c8be9e801144	GET	undefined	/img/img1.jpg
20240902	13:56:28	f41f55b3-1783-44dd-afb0-65b1f6bd9284	GET	undefined	/subdir/index
20240902	13:56:28	3314ba23-526a-4e5c-a863-ba2d1e129f1e	GET	undefined	/subdir/css/style.css
20240902	13:56:45	0bee025c-3b49-4714-bbc0-f59401d264c6	GET	undefined	/subdir/index
20240902	13:56:45	85852bd8-25b5-433f-8ce6-73ebe412934c	GET	undefined	/subdir/css/style.css
20240902	14:55:32	42313586-eea2-48dc-b84b-1a8ff3ab77a1	GET	undefined	/employees
20240902	14:55:34	d143f5d5-642b-41d0-b01b-319fb2bbcb5f	GET	undefined	/employees
20240902	14:55:37	23e1d7aa-1d94-4b0b-9b22-4f2f35860776	GET	undefined	/employees/
20240902	14:56:07	c9ceb44b-eab0-405e-9d63-496eec589d9a	GET	undefined	/employees
20240902	14:56:31	403fafdb-39a1-45ee-b2f7-1d7f200b4eab	GET	undefined	/employees
20240902	14:56:31	046a336a-4c57-456d-975f-7243a15c5e7d	GET	undefined	/employees
20240902	14:56:32	b431587b-06f5-4f10-aadd-dac169fe95ce	GET	undefined	/employees
20240902	14:59:23	c77030f5-3291-4e8e-88b8-60ecc17874bb	GET	undefined	/employees
20240902	17:47:51	76d57fcc-8f61-416a-90fc-db94c0eb2b04	POST	undefined	/employees/
20240902	17:52:41	360008ac-22ec-4d7b-8c7e-3af335d3bc35	POST	undefined	/employees/
20240902	17:57:25	45fff9b3-0205-4e5b-9a84-951f878e9a5c	POST	undefined	/employees/
20240902	18:00:51	edffeab8-8ff6-4592-8637-9eca6f6735aa	POST	undefined	/employees/
20240902	18:07:36	7783267a-e37c-4b95-9278-d9c35de03942	POST	undefined	/employees/
20240902	18:08:14	5e01cff5-2aad-48dd-9002-b39827c24816	POST	undefined	/employees/
20240902	18:13:22	c00737d5-8ebc-45de-93e5-dc5b7317801c	POST	undefined	/employees/
20240902	18:13:57	0aba7445-b807-4b05-97bd-4d7d6e42c465	POST	undefined	/employees/
20240902	18:16:10	dd14ce6c-b163-42fc-9a2b-caf4b106d703	POST	undefined	/employees/
20240902	18:17:29	64f90066-8e89-4141-9e7d-d0e84c9b8cc5	POST	undefined	/employees/
20240902	18:21:06	d15dc5be-12b8-42ec-9c98-30fe0c880b13	POST	undefined	/employees/
20240902	18:25:51	ab0ad255-40ab-4229-bdd2-3b5fdfe9e474	POST	undefined	/employees/
20240902	18:35:17	119d4973-ed6e-4b25-a4c7-e86e84734f8f	POST	undefined	/employees/
20240902	18:36:49	03675b92-f21b-40b3-a258-2b4a0b91ad47	POST	undefined	/employees/
20240902	23:37:03	d2c81a30-7c12-4cd4-8dc7-8f001e0e7323	PUT	undefined	/employees/
20240902	23:37:41	e7f5ea88-876b-4328-ab09-3a2d26a20279	PUT	undefined	/employees/
20240902	23:39:38	63510731-2e1c-4234-a54b-58de0c654ff3	PUT	undefined	/employees/
20240902	23:40:47	76fae0d4-f4ba-4679-bc28-4784beafc3ac	PUT	undefined	/employees/
20240902	23:58:51	adca61c9-da10-4fd1-917d-d8610d21d6a0	DELETE	undefined	/employees/
20240903	00:07:48	ba2741b7-f293-41a0-9116-a3bc7e5587e9	DELETE	undefined	/employees/
20240903	00:10:45	24190ff6-8d5d-48f2-92f5-f770db3d61e0	DELETE	undefined	/employees/
20240903	00:15:04	7b68f1c3-05b9-429a-9303-1a26ac2c6342	DELETE	undefined	/employees/
20240903	00:16:19	99176b2e-0853-47a3-b6a3-80fc26346dac	DELETE	undefined	/employees/
20240903	00:17:35	f7d58c20-a982-48cd-a86d-3c5a4084557f	DELETE	undefined	/employees/
20240903	00:19:43	47cdc96d-8413-4f31-9cd4-c84e238fc88e	DELETE	undefined	/employees/
20240903	00:21:25	9904c272-0932-478d-8932-90f27686e8f2	DELETE	undefined	/employees/
20240903	00:25:02	b2381f1f-33a3-4bf7-8a79-71b5721ed6cc	DELETE	undefined	/employees/
20240903	00:25:07	2b52278a-b1f3-46e6-9554-45560cb7116a	DELETE	undefined	/employees/
20240903	00:34:14	6690264d-5e43-4554-9109-834c416c1655	GET	undefined	/employees/1
20240903	00:34:23	a66facd8-5392-4022-b349-afaf03939da4	GET	undefined	/employees/1
20240903	00:34:27	e7ff34c4-3336-434f-ac68-2c775e73ab63	GET	undefined	/employees/3
20240903	00:34:32	28118382-71c0-4183-ad24-950f1154a2f5	GET	undefined	/employees/2
20240903	19:33:36	ab31fd9f-91da-405e-9537-bc5b8ede867b	POST	undefined	/register
20240903	19:37:43	4984c510-1509-4392-b849-ae9f8e101d96	POST	undefined	/register
20240903	19:41:35	3e72929d-7e82-459b-86c8-d200c69f4f43	POST	undefined	/register
20240903	19:42:19	7e968a39-5a43-4661-9e8f-1de3157b9e02	POST	undefined	/register
20240903	20:15:07	249940df-a276-4f4c-aff2-d1ff3e86f011	POST	undefined	/auth
20240903	20:15:11	c78833a3-e9bd-4da2-a842-2ffcf96d7ea8	POST	undefined	/auth
20240903	20:15:15	8a96f135-8556-47d7-af76-8448d2f1b4a7	POST	undefined	/auth
20240903	20:15:34	e8abcf34-57ca-4e8d-8712-35e7bb5d9166	POST	undefined	/auth
20240903	20:19:26	36a7d50f-6f56-40d4-8ca2-06b9e494177f	POST	undefined	/auth
20240903	20:20:12	ac9e41e9-070d-42ac-942c-10118e6f66c2	POST	undefined	/auth
20240903	20:20:40	61bcba76-f195-423c-9e78-1d84b1bf4642	POST	undefined	/auth
20240903	20:20:46	4168663a-1c42-4005-a217-d322b812140b	POST	undefined	/auth
20240903	20:20:49	69384c28-1b27-4b92-addc-3a361d87b88c	POST	undefined	/auth
20240903	20:20:55	f35dbbd9-7a1c-4412-b4f8-ce00ac560ace	POST	undefined	/auth
20240903	20:20:59	dad03157-05c2-45b4-bfce-b6d941ebb643	POST	undefined	/auth
20240903	20:22:39	7678207a-dd44-4fe7-8dff-dd2040eb5fd6	POST	undefined	/auth
20240903	20:23:32	8e6ca3a5-cb67-4205-aa37-078d4608ee20	POST	undefined	/register
20240903	20:23:33	5de8ad4b-9624-42a6-9889-f0128a30f95c	POST	undefined	/register
20240903	20:24:22	4e09985d-7d9a-4d31-8158-1b215086b8f0	POST	undefined	/register
20240903	20:24:24	641cb2da-c3dc-47c0-b018-70c62126c056	POST	undefined	/register
20240903	20:24:25	632c795c-03f9-4ebe-84c4-c4af4e9f0d7b	POST	undefined	/register
20240903	20:24:25	fb697a32-495a-40fa-a936-5dded9cc1779	POST	undefined	/register
20240903	20:24:25	eed580d4-2406-46ea-90c1-f1d7f4716220	POST	undefined	/register
20240903	20:24:25	bb23c792-f72f-4b35-8c72-039276ce527d	POST	undefined	/register
20240904	01:03:51	918066d6-45ac-4813-ac48-dc08927a0b07	POST	undefined	/auth
20240904	01:15:53	2549dbab-43e5-4145-b7be-b5ff4d16a4d0	GET	undefined	/auth
20240904	01:18:23	ad05943b-198a-4676-8a70-3290748eec4c	POST	undefined	/register
20240904	01:21:11	8252b37e-09df-412f-8f20-349ea59640a9	GET	undefined	/auth
20240904	01:22:23	aade2d20-6786-42d8-bd0a-610627c82dd7	POST	undefined	/auth
20240904	01:28:09	c8c0387f-db8f-480d-8c19-3d3719de205a	POST	undefined	/auth
20240904	01:29:23	df81d63b-d6f2-4058-9aa1-75d55b1a4217	POST	undefined	/auth
20240904	01:30:19	e7da48e1-30fb-43a9-9b00-f9b040715492	POST	undefined	/auth
20240904	01:41:01	ccef21c7-394f-4a97-a67f-60dd90f55011	POST	undefined	/auth
20240904	01:41:21	fcd366b9-3e06-4dc7-9136-3f041c21f6a3	GET	undefined	/employees
20240904	01:42:11	68ec72f9-1a4c-48c4-8e09-3dc9c49c77b3	POST	undefined	/auth
20240904	01:42:19	409d2b1b-fe8d-4316-95ae-0c43c23dd817	GET	undefined	/employees
20240904	01:48:16	1b1bbb83-3079-4ddf-951e-bd79422d43b8	POST	undefined	/auth
20240904	01:48:28	a10bfb80-58aa-4701-8c77-14b0cb8ef7db	GET	undefined	/employees
20240904	01:51:43	d84567a3-a4d1-4cd2-b0b0-8e15d9e5bbcc	GET	undefined	/employees
20240904	01:52:40	4640f1bd-f5ad-4b4e-bc1c-6862897fa888	GET	undefined	/employees
20240904	01:55:28	19b1f346-275b-419b-9e08-e282e68c2fe1	GET	undefined	/employees
20240904	01:59:03	f90f9499-a4da-4079-b866-b3ee733ef048	GET	undefined	/employees
20240904	01:59:11	ddf645ba-fc08-492e-8b4e-90bd7dce7aaf	POST	undefined	/auth
20240904	01:59:20	f15aadb7-c563-4929-9235-f23475aa6089	GET	undefined	/employees
20240904	02:00:52	23087ef9-93ae-4c2a-ae25-36d1cb19c3e5	POST	undefined	/auth
20240904	02:01:01	29dbfeb2-5d09-41b2-84e0-b57a59fd2aa2	GET	undefined	/employees
20240904	02:01:44	b09d618d-3bd1-4a30-b6d3-d0c035825ab0	GET	undefined	/employees
20240904	02:41:57	1d044d1f-7b28-4e37-a849-c4d3091cf855	POST	undefined	/auth
20240904	02:42:17	be2e3dd7-4d47-4bba-901d-c5f62d6cdb83	GET	undefined	/refresh
20240904	02:42:28	78e8b7fb-406f-49dd-ab36-c50fb7fb1f78	GET	undefined	/refresh
20240904	02:42:28	5c0cfd87-3d04-4182-96bb-5d884f1bb1e7	GET	undefined	/refresh
20240904	02:42:29	b600eae9-d348-492c-a119-2539377b5247	GET	undefined	/refresh
20240904	02:42:29	a84bf49d-e7d9-4f4d-8ab1-949cf177a2d8	GET	undefined	/refresh
20240904	02:42:30	37e0a456-583e-43c8-aeb9-d8ac1637628b	GET	undefined	/refresh
20240904	02:42:31	3556c304-0c83-471b-aafe-01e0309416e2	GET	undefined	/refresh
20240904	02:42:31	d0aa9ac1-903a-4679-8326-a4f0316813b9	GET	undefined	/refresh
20240904	02:42:32	fc096f3f-3e38-421f-a8a9-9561662439fd	GET	undefined	/refresh
20240904	02:42:32	2cd778f2-8f37-49d0-9628-66e02988fc49	GET	undefined	/refresh
20240904	02:42:33	0c510b4d-826c-4ee2-86ac-5052f4f3e996	GET	undefined	/refresh
20240904	03:03:47	de9b016d-391e-4109-96f0-177affdd9800	POST	undefined	/refresh
20240904	03:04:29	9cf62edb-8706-41d5-9097-5241708a7303	POST	undefined	/auth
20240904	03:04:43	e89e1603-61eb-4f8a-96de-7e63da468afa	GET	undefined	/logout
20240904	03:04:55	2d69022d-404a-4dcd-b815-49ad0bbf0fda	GET	undefined	/refresh
20240904	03:04:58	ea2825ac-6f40-4a38-bc6d-45f5a2136a51	GET	undefined	/refresh
20240904	03:06:17	08887da8-f00d-4c86-9114-c903f514f8b9	POST	undefined	/auth
20240904	03:06:51	3eb7292d-cc94-4322-afcd-38ef19aebd47	GET	undefined	/logout
20240904	03:07:04	5c6fb4b1-5e98-49d0-bc01-5bf81028ac9a	POST	undefined	/auth
20240904	03:07:47	17e001d7-dea4-4422-9b03-30db6f28468e	POST	undefined	/auth
20240904	03:07:56	6999ae10-55b4-4433-9dc4-27d791da797e	GET	undefined	/logout
20240904	03:12:12	0d39545a-7067-4d33-b70c-6915777bf4d5	POST	undefined	/auth
20240904	03:12:42	dd07fd77-3d1c-49aa-87b4-b731e8a1885e	GET	undefined	/logout
20240904	03:13:16	0d308a89-52e8-4ee5-88ed-b2adc3347a55	POST	undefined	/auth
20240904	03:13:32	733b23f5-a3bc-43b9-8123-2873150360f0	GET	undefined	/logout
20240904	03:13:53	b2a188b7-2d0f-48f4-8add-0050433d979c	POST	undefined	/auth
20240904	03:13:57	038fb1b1-168c-4e7b-bf2f-27467749b783	GET	undefined	/logout
20240904	10:49:28	3c11d118-8394-4cf9-a0a7-edf6f8022dd9	POST	undefined	/auth
20240904	10:50:13	74c31655-915e-4419-8ebb-c31c19fd6a0a	GET	undefined	/logout
20240904	12:55:02	162de1af-ee80-456d-81da-be04eb82096f	POST	undefined	/auth
20240904	12:55:30	e3955c44-5b14-4609-8475-fe521f874415	GET	undefined	/logout
20240904	12:56:06	d3eba37b-936a-4405-9038-2675d56e48cd	GET	undefined	/logout
20240904	12:56:25	55831d2d-0797-4321-bcf0-7522b4805d43	POST	undefined	/auth
20240904	12:56:30	3e447d05-36a3-459e-a189-c0b4ab3aeaab	GET	undefined	/logout
20240904	13:01:15	cec41a0b-bda1-45e9-a7b5-79d35914e500	GET	undefined	/logout
20240904	13:02:38	e7119dca-b3a8-4372-b7c9-71832f699a64	POST	undefined	/auth
20240904	13:02:55	db20c2d3-43ed-4b22-817c-c6b6dfd74c88	GET	undefined	/logout
20240904	13:17:13	d45c2e5c-2ad5-494b-9ad7-132d4219e761	POST	undefined	/auth
20240904	13:17:19	f5d54636-fb9f-4a4a-b026-e2e786cbd7c6	GET	undefined	/logout
20240904	13:19:33	da013c49-e604-4afd-98e3-3cd98ca0b9dd	POST	undefined	/auth
20240904	13:19:37	313e67e8-cc4d-4085-a63a-be12705d2337	GET	undefined	/logout
20240904	13:19:37	f3a2eb48-95af-4746-b6ed-5faa7c79c7ce	GET	undefined	/logout
20240904	13:28:59	a7f0b735-b037-427d-9fda-e4ef293fe693	POST	undefined	/auth
20240904	13:29:14	737ca38b-491a-463b-8989-80bf37322c70	GET	undefined	/logout
20240904	13:29:37	f8c46252-283b-43c4-8833-8496e61ca88d	POST	undefined	/auth
20240904	13:29:42	d9a3196f-c996-40dd-b457-b06738d63021	GET	undefined	/logout
20240904	13:30:19	0719370a-0724-4cbf-a498-5b0387e85ed6	POST	undefined	/auth
20240904	13:30:23	ef62f7d8-9e49-41ce-9f19-7cebe3ff0757	GET	undefined	/logout
20240904	13:34:33	3b792bf3-bb92-4049-8ed5-e85feadd8253	POST	undefined	/auth
20240904	13:34:37	40b375b2-0135-4ce7-955a-7088e4c9802f	GET	undefined	/logout
20240904	13:53:51	5c9dc9b3-6103-4079-bf43-4ab3c7063794	POST	undefined	/auth
20240904	13:54:04	eb715b53-a526-4f8b-b577-8929b09caf79	GET	undefined	/logout
20240904	13:54:47	f031779b-b77a-46b1-822e-0900aece0e04	GET	undefined	/logout
20240904	13:55:02	13f3f127-ecd7-4dd3-8769-65fe9fc7efa5	POST	undefined	/auth
20240904	13:55:05	21bfc911-c0f0-4e9d-996a-f11167d2c0a1	GET	undefined	/logout
20240904	15:58:32	81e3f41c-3626-4f1d-9f3a-2b881e879243	POST	undefined	/auth
20240904	15:59:00	28f98834-1987-46de-bdc6-024dc71d2ad7	POST	undefined	/auth
20240904	15:59:26	de4f35f4-ca87-42e8-913d-f40986e6c5c1	POST	undefined	/auth
20240904	15:59:40	d10e403b-738c-47b6-b891-2aed71dd8f2c	GET	undefined	/employees
20240904	15:59:43	87d0e505-f4a6-42d5-80e5-eff790572d00	GET	undefined	/employees
20240904	15:59:44	360b80ce-1d42-4593-a86b-2e317996f14f	GET	undefined	/employees
20240904	15:59:44	7dfc3651-5098-4b9a-8fe8-a5798e894b41	GET	undefined	/employees
20240904	16:00:50	e7e64579-b55c-414e-ba2f-32f2bba8e9f0	POST	undefined	/employees
20240904	16:02:38	4a38b535-2f87-41e7-9f3f-91af97565f4a	POST	undefined	/auth
20240904	16:02:45	a994f3c4-c879-4ee7-8c49-e62c5594cf3a	POST	undefined	/employees
20240904	16:04:10	0167c023-a809-48d9-add4-d7b4b9097594	POST	undefined	/auth
20240904	16:04:19	6af35c78-1045-42af-bef5-a170ee8c3239	POST	undefined	/employees
20240904	16:06:59	9c7ee89c-458f-43ec-8c90-489cb7bd2f9c	POST	undefined	/auth
20240904	16:07:08	78e38f04-c866-484a-8ac3-6ae0963b5cb7	POST	undefined	/employees
20240905	18:20:32	09162061-39c2-4c77-b735-891df05771ec	POST	undefined	/register
20240905	18:20:47	c893579a-dd19-41c3-80f3-7d589eca36c9	POST	undefined	/register
20240905	18:21:29	4f9a933c-efca-42ac-ada2-5c83f45fc8a8	POST	undefined	/register
20240907	12:58:52	3f4ff359-1dc3-4c69-bd4e-52efff510666	GET	undefined	/
20240907	12:58:52	bfa97f9e-d17b-45b1-b57d-27686b0b8f10	GET	undefined	/css/style.css
20240907	12:58:52	d0dfa1e9-ec5f-4388-a23c-5edecc29326a	GET	undefined	/favicon.ico
